city,property_type,area_sqft,bedrooms,price,year_listed
Mumbai,Studio,342,1,3017972,2023
Bengaluru,Independent House,2703,3,36114960,2021
Bengaluru,Plot,4718,0,20566987,2021
Delhi,Plot,2097,0,13357876,2023
Mumbai,Apartment,808,1,11371834,2025
Pune,Studio,509,1,2878917,2021
Mumbai,Apartment,1911,1,22992311,2023
Delhi,Apartment,1927,1,24417214,2025
Hyderabad,Independent House,1502,4,16124389,2023
Pune,Independent House,1168,2,13881013,2022
Pune,Plot,2175,0,6864312,2021
Mumbai,Plot,1836,0,10851961,2024
Hyderabad,Independent House,2413,4,24465036,2024
Delhi,Studio,352,1,2400537,2021
Delhi,Studio,413,1,3189712,2024
Bengaluru,Villa,2705,3,60720172,2025
Lucknow,Apartment,1081,1,5239614,2022
Pune,Plot,3323,0,13697142,2025
Hyderabad,Independent House,1990,2,19653784,2024
Bengaluru,Apartment,1526,2,14835355,2023
Hyderabad,Studio,430,1,1942424,2022
Mumbai,Apartment,1906,3,23089815,2021
Lucknow,Plot,2130,0,4991805,2022
Delhi,Independent House,1166,4,15423995,2021
Delhi,Studio,523,1,3605648,2021
Delhi,Villa,3401,5,82452273,2023
Hyderabad,Studio,350,1,1672382,2025
Pune,Independent House,2967,4,40196972,2025
Mumbai,Villa,2939,4,75473145,2021
Lucknow,Studio,425,1,1325955,2022
Bengaluru,Villa,2713,5,49982544,2021
Pune,Studio,360,1,1913512,2024
Bengaluru,Studio,554,1,4129980,2023
Lucknow,Independent House,1992,4,17149449,2022
Pune,Villa,4975,5,65059207,2022
Pune,Studio,583,1,2911211,2023
Mumbai,Villa,3309,5,66288049,2021
Pune,Studio,475,1,2385702,2025
Mumbai,Apartment,1443,1,21441494,2024
Delhi,Villa,2714,3,63592705,2024
Delhi,Studio,312,1,2247158,2024
Lucknow,Studio,349,1,898875,2021
Hyderabad,Studio,441,1,2363251,2024
Lucknow,Plot,4614,0,9141407,2023
Hyderabad,Studio,442,1,2190083,2021
Mumbai,Independent House,1646,4,31482609,2021
Delhi,Independent House,1116,4,22255440,2025
Bengaluru,Independent House,1037,4,15185233,2021
Hyderabad,Plot,4144,0,14003255,2021
Mumbai,Apartment,729,1,9794274,2023
Pune,Plot,2863,0,9365206,2024
Lucknow,Studio,487,1,1511380,2025
Mumbai,Plot,4673,0,32528851,2023
Delhi,Apartment,1967,2,22412055,2024
Delhi,Studio,383,1,2181827,2021
Pune,Villa,2799,5,37943462,2023
Pune,Independent House,1329,4,17288677,2025
Hyderabad,Independent House,2616,2,24356122,2021
Mumbai,Studio,354,1,3106173,2022
Hyderabad,Plot,4168,0,15176371,2024
Mumbai,Villa,2506,5,82697658,2025
Lucknow,Apartment,1255,2,5470478,2025
Lucknow,Independent House,1253,3,7422951,2025
Delhi,Plot,3901,0,22052473,2025
Delhi,Plot,2738,0,14910245,2022
Bengaluru,Studio,432,1,2776523,2021
Bengaluru,Studio,598,1,4585411,2024
Pune,Villa,3914,4,56423488,2021
Mumbai,Plot,2854,0,16129488,2021
Lucknow,Studio,407,1,1040798,2022
Mumbai,Studio,456,1,3893863,2023
Bengaluru,Apartment,947,1,8535032,2024
Lucknow,Studio,448,1,1169515,2022
Hyderabad,Plot,2021,0,8638144,2025
Hyderabad,Plot,1582,0,6186063,2025
Delhi,Apartment,965,3,9335699,2021
Hyderabad,Villa,4243,4,64875103,2022
Bengaluru,Independent House,2246,4,33334710,2023
Delhi,Independent House,1251,4,19107973,2021
Mumbai,Villa,2140,4,58096366,2024
Pune,Villa,4202,5,73729754,2025
Lucknow,Plot,1792,0,3752352,2021
Mumbai,Plot,2239,0,12146068,2021
Mumbai,Independent House,1845,4,39272145,2024
Mumbai,Studio,348,1,3456119,2023
Bengaluru,Apartment,847,2,8625592,2025
Pune,Studio,311,1,1700521,2021
Pune,Studio,519,1,3248541,2025
Mumbai,Apartment,1669,3,24768294,2022
Bengaluru,Apartment,1253,3,13542118,2025
Bengaluru,Villa,3946,3,85941480,2025
Mumbai,Independent House,1829,2,35343521,2021
Pune,Independent House,2435,3,28142105,2022
Hyderabad,Villa,2757,4,40102379,2021
Bengaluru,Plot,2673,0,11375123,2022
Lucknow,Apartment,1975,2,7986700,2023
Bengaluru,Independent House,1361,4,18950621,2022
Pune,Villa,4080,5,69482032,2023
Hyderabad,Villa,2569,3,44152418,2024
Bengaluru,Apartment,1715,3,15773011,2022
Bengaluru,Plot,2552,0,11143896,2024
Delhi,Studio,468,1,4202020,2024
Hyderabad,Independent House,2898,4,32727789,2023
Bengaluru,Plot,3804,0,17311413,2021
Lucknow,Studio,363,1,1147388,2023
Mumbai,Plot,3174,0,22780499,2023
Lucknow,Apartment,1016,1,4623063,2024
Bengaluru,Studio,396,1,2569360,2021
Mumbai,Plot,1503,0,10453293,2021
Pune,Apartment,943,3,6599411,2021
Mumbai,Plot,1300,0,9317843,2024
Pune,Studio,302,1,1502524,2021
Mumbai,Villa,2848,4,95859082,2025
Lucknow,Independent House,1479,3,8703152,2021
Hyderabad,Independent House,1274,4,11477943,2022
Bengaluru,Independent House,1880,4,29791516,2025
Hyderabad,Plot,4388,0,15533435,2022
Lucknow,Studio,391,1,963651,2021
Hyderabad,Plot,2693,0,11456896,2025
Hyderabad,Plot,4362,0,14932410,2023
Bengaluru,Villa,4125,5,89390017,2025
Delhi,Independent House,2163,4,34393790,2025
Delhi,Plot,4235,0,21113072,2025
Pune,Independent House,2627,4,27044374,2023
Hyderabad,Plot,3952,0,14475694,2025
Mumbai,Villa,2720,5,75549709,2023
Mumbai,Villa,4160,3,107972361,2024
Bengaluru,Independent House,1444,2,23802924,2023
Lucknow,Independent House,1625,2,8838173,2023
Mumbai,Plot,1113,0,8448073,2025
Bengaluru,Plot,4172,0,22573123,2025
Bengaluru,Apartment,1320,2,15308743,2025
Mumbai,Studio,542,1,5209320,2025
Lucknow,Studio,307,1,991620,2024
Pune,Villa,4203,3,68818137,2025
Pune,Independent House,2741,3,36706657,2024
Pune,Studio,378,1,1834986,2021
Bengaluru,Plot,1436,0,6731501,2023
Hyderabad,Apartment,1306,1,11098894,2025
Hyderabad,Villa,4891,5,61180381,2021
Pune,Apartment,1523,3,11163030,2024
Lucknow,Plot,2857,0,6497255,2023
Mumbai,Studio,300,1,2695591,2025
Bengaluru,Apartment,891,3,9099194,2021
Hyderabad,Apartment,745,3,5185849,2023
Hyderabad,Villa,2958,4,48962977,2023
Lucknow,Independent House,2184,3,13487063,2021
Bengaluru,Plot,2626,0,14151153,2024
Lucknow,Independent House,1759,4,12872971,2025
Delhi,Apartment,1915,3,18910625,2024
Bengaluru,Studio,571,1,4519533,2024
Delhi,Plot,1175,0,6911913,2024
Hyderabad,Villa,4470,4,62196970,2021
Lucknow,Plot,2745,0,5842614,2021
Hyderabad,Independent House,2726,2,27606443,2021
Bengaluru,Studio,533,1,3839049,2023
Hyderabad,Apartment,881,2,6090176,2022
Bengaluru,Plot,1172,0,6557005,2025
Mumbai,Apartment,1675,1,24117589,2024
Mumbai,Villa,4580,3,141397645,2023
Mumbai,Villa,2838,4,77200888,2025
Delhi,Apartment,1438,1,15659790,2023
Pune,Apartment,1896,3,14585046,2025
Mumbai,Villa,3044,5,98370256,2025
Pune,Apartment,1658,2,14384883,2025
Hyderabad,Studio,405,1,1808082,2022
Bengaluru,Independent House,2212,4,34971997,2025
Pune,Studio,494,1,2809381,2024
Hyderabad,Apartment,1801,1,13629208,2025
Lucknow,Villa,2147,4,15124312,2022
Lucknow,Villa,2747,5,20231385,2021
Mumbai,Villa,3324,3,99175555,2023
Hyderabad,Independent House,1299,4,14464672,2025
Pune,Independent House,2736,4,29629192,2022
Mumbai,Apartment,880,2,11785511,2024
Mumbai,Plot,3061,0,22946103,2022
Bengaluru,Studio,540,1,4242277,2023
Mumbai,Plot,1601,0,13390884,2024
Mumbai,Independent House,2831,4,54714986,2025
Mumbai,Villa,4836,5,125251842,2021
Delhi,Villa,2530,3,53057741,2022
Bengaluru,Independent House,1773,4,28231838,2023
Mumbai,Plot,1808,0,12453407,2024
Hyderabad,Plot,4936,0,15010029,2024
Delhi,Apartment,1393,3,17223524,2025
Pune,Apartment,1676,2,12877237,2025
Bengaluru,Independent House,1823,2,20458522,2021
Hyderabad,Studio,448,1,1888710,2021
Mumbai,Studio,578,1,4802055,2023
Pune,Apartment,1583,3,11769125,2023
Lucknow,Independent House,1401,2,10896517,2023
Pune,Plot,1459,0,5132059,2022
Lucknow,Plot,1394,0,3290451,2025
Delhi,Independent House,1259,2,18062013,2022
Mumbai,Plot,2009,0,12039648,2022
Pune,Apartment,969,1,7700209,2025
Hyderabad,Apartment,630,1,4012640,2021
Bengaluru,Plot,1038,0,6911541,2025
Bengaluru,Independent House,1865,2,31416928,2025
Lucknow,Independent House,2563,2,17490367,2025
Pune,Studio,305,1,1656619,2023
Lucknow,Plot,1058,0,2740148,2025
Pune,Apartment,689,2,6107469,2025
Delhi,Apartment,1216,2,13503066,2025
Pune,Plot,2661,0,11777310,2025
Hyderabad,Plot,1820,0,7530988,2024
Hyderabad,Villa,3078,3,44864910,2025
Lucknow,Apartment,811,2,3573652,2023
Mumbai,Independent House,2688,3,42759679,2023
Mumbai,Villa,3471,4,76657529,2021
Mumbai,Apartment,1058,3,14026698,2021
Mumbai,Villa,2664,4,79866496,2025
Delhi,Independent House,2470,3,46192300,2025
Mumbai,Independent House,1459,4,31583982,2023
Mumbai,Apartment,1749,2,24184007,2024
Lucknow,Apartment,611,2,3122472,2025
Pune,Villa,2499,5,36863350,2022
Pune,Apartment,813,2,5422611,2021
Delhi,Plot,2144,0,13776400,2024
Delhi,Plot,3522,0,15170686,2023
Lucknow,Independent House,2288,4,13069117,2022
Lucknow,Plot,3183,0,7427320,2021
Delhi,Villa,3397,4,72520449,2024
Lucknow,Apartment,1488,2,6031235,2023
Pune,Studio,301,1,1797318,2025
Pune,Apartment,1964,3,19447673,2023
Pune,Independent House,2501,3,27003135,2025
Mumbai,Plot,3921,0,29144592,2024
Bengaluru,Villa,2101,5,36086830,2022
Pune,Villa,2938,5,51976267,2025
Delhi,Plot,4689,0,25393708,2022
Pune,Plot,3922,0,14293205,2022
Bengaluru,Villa,3400,3,71020079,2024
Delhi,Studio,379,1,3001592,2024
Bengaluru,Villa,2042,5,28090353,2021
Bengaluru,Studio,416,1,3510623,2023
Mumbai,Plot,1384,0,9013274,2025
Mumbai,Villa,2513,4,65497466,2024
Delhi,Independent House,2561,4,46570456,2021
Bengaluru,Apartment,616,3,6555160,2024
Lucknow,Villa,3900,5,32977312,2025
Hyderabad,Studio,544,1,2521476,2022
Delhi,Apartment,1233,1,13231912,2021
Bengaluru,Studio,510,1,3489540,2022
Mumbai,Plot,4634,0,32585734,2024
Bengaluru,Plot,2839,0,13344011,2022
Lucknow,Plot,2901,0,6610138,2022
Lucknow,Villa,3524,4,37250782,2024
Hyderabad,Apartment,1590,1,11778585,2023
Delhi,Plot,1977,0,11083501,2025
Hyderabad,Independent House,2843,3,23546560,2021
Hyderabad,Studio,574,1,2793493,2024
Mumbai,Villa,4048,3,80499786,2025
Bengaluru,Plot,3119,0,13746896,2021
Mumbai,Plot,2666,0,19226721,2022
Delhi,Villa,2439,4,59181867,2025
Lucknow,Apartment,1208,3,4687702,2022
Bengaluru,Apartment,854,1,7038592,2021
Delhi,Villa,2682,5,49844702,2021
Pune,Studio,329,1,1403695,2021
Delhi,Studio,379,1,3317508,2025
Lucknow,Studio,361,1,1108315,2025
Lucknow,Plot,2558,0,5958180,2025
Hyderabad,Independent House,2998,3,30420153,2022
Hyderabad,Independent House,2108,2,27142882,2025
Hyderabad,Independent House,2145,2,20626784,2022
Bengaluru,Studio,555,1,4589181,2025
Mumbai,Apartment,623,1,9073078,2023
Mumbai,Apartment,1245,1,17181440,2023
Pune,Villa,2733,5,44332776,2025
Lucknow,Studio,335,1,1015932,2022
Bengaluru,Independent House,1076,3,16482751,2024
Lucknow,Independent House,1859,2,12808879,2022
Pune,Independent House,2991,2,37167429,2023
Bengaluru,Plot,2808,0,14506779,2022
Delhi,Apartment,798,2,9391552,2024
Bengaluru,Plot,3277,0,15910457,2022
Bengaluru,Apartment,1395,3,15316314,2021
Bengaluru,Apartment,1445,2,17110741,2024
Bengaluru,Independent House,1438,2,20864294,2022
Delhi,Studio,385,1,3353350,2024
Delhi,Studio,529,1,4626656,2025
Hyderabad,Studio,329,1,1550377,2021
Mumbai,Plot,1065,0,6299341,2022
Lucknow,Villa,4164,4,41779870,2022
Hyderabad,Independent House,1999,4,23052132,2023
Bengaluru,Independent House,1212,2,16801829,2022
Delhi,Plot,2760,0,15657859,2023
Lucknow,Villa,4578,3,37434679,2022
Hyderabad,Independent House,2073,3,24243957,2025
Bengaluru,Independent House,1200,3,13985689,2022
Mumbai,Independent House,1254,3,28903584,2024
Mumbai,Independent House,2431,2,55500064,2024
Mumbai,Independent House,1243,3,26018723,2022
Pune,Studio,496,1,2910715,2025
Delhi,Plot,3622,0,20255227,2024
Lucknow,Villa,3699,3,32609980,2022
Delhi,Plot,3403,0,22317203,2024
Bengaluru,Independent House,1450,2,23720688,2022
Mumbai,Studio,385,1,4156238,2025
Bengaluru,Villa,4876,5,109558233,2025
Lucknow,Villa,2147,4,21540825,2023
Pune,Independent House,2630,4,34354419,2023
Bengaluru,Independent House,2444,2,36593800,2023
Pune,Independent House,1594,2,15900420,2021
Pune,Plot,3887,0,15279467,2021
Delhi,Villa,4409,5,86440302,2022
Lucknow,Plot,2888,0,4879612,2021
Pune,Independent House,2167,3,20400398,2022
Delhi,Plot,4603,0,21697463,2023
Bengaluru,Villa,2132,5,45465098,2025
Bengaluru,Plot,4258,0,21412436,2023
Bengaluru,Studio,490,1,3260096,2021
Bengaluru,Plot,3934,0,22830706,2025
Pune,Apartment,1128,1,7346447,2021
Bengaluru,Plot,1828,0,9640974,2021
Delhi,Apartment,756,3,10268443,2025
Mumbai,Villa,3576,5,97406388,2024
Lucknow,Villa,3238,5,29386956,2021
Pune,Independent House,1021,3,12493806,2021
Pune,Apartment,1470,3,9058972,2021
Mumbai,Studio,338,1,3963044,2025
Pune,Apartment,1045,1,8544784,2025
Mumbai,Plot,4127,0,25236755,2021
Pune,Apartment,1460,1,10965199,2025
Delhi,Plot,4001,0,19770040,2021
Delhi,Studio,544,1,4159547,2023
Pune,Villa,2267,3,36867881,2024
Hyderabad,Studio,490,1,2355499,2021
Mumbai,Independent House,1921,4,43743180,2024
Mumbai,Apartment,1545,2,21337564,2022
Delhi,Independent House,1051,2,18823992,2023
Delhi,Villa,3007,3,70407044,2025
Pune,Apartment,1952,1,17705616,2025
Pune,Villa,4738,3,75448531,2021
Lucknow,Independent House,1517,4,9820910,2021
Pune,Independent House,2449,2,32638015,2024
Hyderabad,Villa,2749,4,42454690,2023
Pune,Apartment,655,3,5560618,2025
Hyderabad,Apartment,1077,3,9402428,2024
Mumbai,Villa,2673,4,57971584,2021
Pune,Studio,478,1,2270109,2022
Mumbai,Studio,411,1,4263668,2022
Hyderabad,Villa,4391,3,85256984,2025
Lucknow,Apartment,1947,2,8287926,2025
Bengaluru,Apartment,991,1,9883321,2025
Mumbai,Independent House,2143,2,41582725,2022
Hyderabad,Apartment,1121,2,7055239,2022
Lucknow,Villa,2933,3,22438770,2022
Lucknow,Plot,2785,0,6322095,2022
Mumbai,Villa,3793,3,81390375,2021
Delhi,Studio,478,1,4305487,2024
Bengaluru,Villa,4902,5,100191025,2022
Hyderabad,Studio,306,1,1365806,2022
Delhi,Studio,318,1,2270343,2021
Mumbai,Villa,3469,3,95789186,2021
Lucknow,Studio,301,1,1041449,2023
Pune,Independent House,1000,2,9538586,2024
Lucknow,Independent House,2649,2,16939672,2024
Lucknow,Apartment,813,1,3429387,2022
Pune,Plot,2081,0,7497884,2024
Hyderabad,Villa,2236,4,40091614,2025
Bengaluru,Independent House,2104,3,30025386,2021
Mumbai,Studio,560,1,3983277,2022
Pune,Independent House,2176,4,28125967,2024
Bengaluru,Villa,4391,4,102244468,2025
Bengaluru,Villa,2176,4,39126274,2022
Lucknow,Studio,549,1,1501764,2022
Mumbai,Plot,3476,0,21590772,2021
Lucknow,Apartment,1012,3,4051911,2022
Lucknow,Independent House,2620,2,17728395,2024
Hyderabad,Apartment,1271,3,8555490,2024
Pune,Apartment,1597,1,9847450,2021
Bengaluru,Apartment,1694,3,19752416,2025
Bengaluru,Independent House,1349,3,23885828,2024
Pune,Apartment,1930,1,14614413,2025
Bengaluru,Apartment,869,3,7760701,2024
Hyderabad,Studio,478,1,1981723,2022
Bengaluru,Apartment,1599,3,15934605,2021
Bengaluru,Apartment,1849,2,17416996,2022
Delhi,Studio,441,1,2961168,2024
Delhi,Plot,2924,0,12590860,2021
Pune,Apartment,1002,2,7761218,2024
Hyderabad,Independent House,1568,2,15309222,2021
Bengaluru,Villa,4321,3,83656326,2023
Hyderabad,Independent House,1427,3,16720204,2025
Hyderabad,Apartment,1102,1,8857266,2025
Lucknow,Independent House,2311,4,17672906,2025
Delhi,Studio,493,1,3702198,2025
Bengaluru,Plot,2189,0,9547388,2022
Lucknow,Villa,3293,5,38115223,2025
Mumbai,Apartment,865,1,10053756,2023
Pune,Independent House,2596,2,34484493,2022
Mumbai,Plot,1410,0,7443715,2021
Bengaluru,Villa,4765,3,103465343,2021
Lucknow,Plot,4057,0,8167103,2022
Delhi,Apartment,1714,3,19679562,2025
Mumbai,Apartment,654,2,8650209,2024
Lucknow,Independent House,2298,4,12208760,2021
Lucknow,Studio,391,1,1394046,2025
Hyderabad,Apartment,1878,3,12626747,2022
Pune,Apartment,908,1,6593623,2022
Mumbai,Studio,500,1,4743915,2024
Pune,Studio,560,1,3156010,2024
Lucknow,Villa,4674,5,40920376,2025
Hyderabad,Studio,542,1,3082681,2025
Bengaluru,Studio,355,1,1789695,2021
Lucknow,Plot,1183,0,2344490,2025
Delhi,Villa,3834,5,68817511,2021
Lucknow,Studio,423,1,1359085,2025
Delhi,Independent House,1350,3,21826346,2022
Hyderabad,Villa,3101,5,38459763,2021
Pune,Apartment,1837,1,17362664,2025
Delhi,Studio,575,1,3972241,2022
Pune,Studio,539,1,2653183,2022
Mumbai,Apartment,1145,3,19090633,2025
Delhi,Apartment,1370,3,14683600,2022
Bengaluru,Villa,4267,4,89871503,2023
Mumbai,Independent House,2125,4,36773604,2024
Hyderabad,Independent House,2248,4,23375397,2024
Hyderabad,Studio,534,1,2060288,2021
Pune,Plot,3803,0,13713048,2023
Bengaluru,Independent House,2981,3,38594652,2021
Bengaluru,Apartment,956,2,7928279,2022
Delhi,Studio,338,1,3412526,2024
Lucknow,Independent House,1724,4,9855220,2021
Delhi,Plot,3939,0,16814722,2023
Bengaluru,Studio,429,1,3120877,2023
Delhi,Plot,3223,0,19144386,2023
Pune,Plot,2022,0,6893697,2022
Pune,Villa,2953,3,55409026,2023
Pune,Independent House,2915,4,39356275,2025
Delhi,Studio,327,1,2651252,2025
Delhi,Apartment,1384,3,15785040,2025
Pune,Independent House,2712,3,33355936,2023
Mumbai,Independent House,2787,3,54825414,2025
Mumbai,Apartment,1141,3,14442672,2021
Pune,Studio,457,1,3099445,2025
Mumbai,Apartment,1380,1,18812904,2024
Mumbai,Studio,590,1,4504297,2022
Lucknow,Independent House,2289,2,14555002,2023
Lucknow,Apartment,1960,3,8173963,2021
Pune,Independent House,2637,4,34239144,2025
Bengaluru,Studio,499,1,3733083,2023
Mumbai,Studio,373,1,4011783,2025
Lucknow,Apartment,1446,2,7235942,2024
Pune,Villa,4390,5,76010052,2024
Delhi,Villa,2650,4,41990629,2021
Lucknow,Studio,498,1,1241891,2022
Delhi,Studio,552,1,4457710,2024
Pune,Villa,4135,5,61733799,2025
Hyderabad,Apartment,1708,3,10410559,2022
Pune,Plot,1705,0,6946892,2024
Bengaluru,Plot,4684,0,16132476,2021
Pune,Villa,3071,5,46583431,2023
Hyderabad,Apartment,847,3,5140945,2021
Delhi,Plot,2082,0,14068279,2025
Pune,Independent House,1486,4,16019199,2021
Delhi,Villa,3349,3,78437756,2024
Lucknow,Studio,473,1,1277202,2021
Hyderabad,Villa,2958,3,41688037,2023
Pune,Villa,4604,3,57779172,2021
Pune,Apartment,1141,3,9294419,2022
Mumbai,Villa,2919,5,95170689,2025
Pune,Independent House,2162,2,25883193,2023
Hyderabad,Villa,4397,4,67420607,2024
Hyderabad,Plot,2420,0,10051519,2022
Hyderabad,Apartment,827,3,5462858,2022
Mumbai,Villa,2568,3,77980736,2025
Bengaluru,Apartment,1204,1,11997153,2025
Mumbai,Independent House,2580,2,53597592,2025
Lucknow,Studio,372,1,1373919,2025
Pune,Apartment,1647,3,13423374,2022
Delhi,Apartment,920,1,10859630,2023
